,Yield_Spread_10Y_2Y
2005-01-03,1.1490142459033699
2005-01-04,0.9585207096486446
2005-01-05,1.1943065614302077
2005-01-06,1.4569089569224076
2005-01-07,0.9297539875829992
2005-01-10,0.9297589129152458
2005-01-11,1.4737638446522174
2005-01-12,1.2302304187458726
2005-01-13,0.8591576842195143
2005-01-14,1.1627680130757894
2005-01-17,0.8609746921562613
2005-01-18,0.860281073928923
2005-01-19,1.0725886814698102
2005-01-20,0.42601592660266063
2005-01-21,0.48252465024609015
2005-01-24,0.8313137412277082
2005-01-25,0.6961506638996728
2005-01-26,1.094274199778582
2005-01-27,0.7275927773436368
2005-01-28,0.5763088895994126
2005-01-31,1.4396946306764662
2005-02-01,0.9322671098540393
2005-02-02,1.0202584614063772
2005-02-03,0.572575544135963
2005-02-04,0.8366851826424452
2005-02-07,1.0332767769129598
2005-02-08,0.6547019267733092
2005-02-09,1.1127094055037017
2005-02-10,0.8198083930243585
2005-02-11,0.912491875062017
2005-02-14,0.819488016331181
2005-02-15,1.5556834553526813
2005-02-16,0.9959508325786198
2005-02-17,0.6826867213132299
2005-02-18,1.2467634736309567
2005-02-21,0.6337469050086934
2005-02-22,1.0626590785014267
2005-02-23,0.4120989628360674
2005-02-24,0.6015441853304708
2005-02-25,1.059058370760737
2005-02-28,1.221539973998623
2005-03-01,1.0514104843569911
2005-03-02,0.9653055152835278
2005-03-03,0.9096688913232134
2005-03-04,0.5564434028897718
2005-03-07,0.7840467374815874
2005-03-08,0.8618083687120638
2005-03-09,1.3171366678656746
2005-03-10,1.1030854868705384
2005-03-11,0.4710879533911798
2005-03-14,1.0972251908184385
2005-03-15,0.8844753158751051
2005-03-16,0.7969233999082124
2005-03-17,1.1835028866522603
2005-03-18,1.3092998567487852
2005-03-21,1.2793840357348596
2005-03-22,0.7482347430332085
2005-03-23,0.9072362872446357
2005-03-24,1.0993790294210692
2005-03-25,1.2926635381367078
2005-03-28,0.856247728646413
2005-03-29,0.9443023070008548
2005-03-30,0.6680995077981915
2005-03-31,0.6411380127757988
2005-04-01,1.2437577467182594
2005-04-04,1.406872008571247
2005-04-05,0.9783969635258999
2005-04-06,1.3010598693676072
2005-04-07,1.1084908075142903
2005-04-08,0.8064640736184627
2005-04-11,1.108418681652524
2005-04-12,1.4614109699397908
2005-04-13,0.9892521882670146
2005-04-14,1.4693930967442017
2005-04-15,0.21407646877307673
2005-04-18,1.2465707513125672
2005-04-19,1.0261141204714515
2005-04-20,0.9102977948602398
2005-04-21,1.0275282329606508
2005-04-22,0.4037293256197322
2005-04-25,0.9340984336487465
2005-04-26,1.1071337714535239
2005-04-27,1.4433682134224548
2005-04-28,0.8445189345179058
2005-04-29,0.7574519191320437
2005-05-02,0.8494728869246391
2005-05-03,1.2746206353106222
2005-05-04,1.0986253328979054
2005-05-05,0.8410719388698884
2005-05-06,1.1539802299340067
2005-05-09,1.0291232648044122
2005-05-10,1.2905934971598667
2005-05-11,0.7893840718367943
2005-05-12,0.9017013560206696
2005-05-13,0.8823675540603527
2005-05-16,0.5609455155603644
2005-05-17,1.0888360831193729
2005-05-18,1.0783165816539668
2005-05-19,1.0015340369927384
2005-05-20,0.9296238599874559
2005-05-23,0.5753887773848758
2005-05-24,0.8738064031703923
2005-05-25,0.8971856450419692
2005-05-26,0.7593168192335144
2005-05-27,0.9516142865001973
2005-05-30,1.1212152570443614
2005-05-31,1.565855770363159
2005-06-01,1.0523733438495517
2005-06-02,1.0772651172168293
2005-06-03,0.9776662252701498
2005-06-06,0.4243686354102876
2005-06-07,0.9920458373652349
2005-06-08,1.018069062982308
2005-06-09,1.7389726337455857
2005-06-10,0.9422917105656632
2005-06-13,1.0904642027000837
2005-06-14,0.989586469088427
2005-06-15,0.6493965887141404
2005-06-16,1.342846844354506
2005-06-17,1.2255799098060323
2005-06-20,1.237309584112914
2005-06-21,0.7271837635615783
2005-06-22,1.4208382932808297
2005-06-23,0.5794446811623157
2005-06-24,1.1760571281400811
2005-06-27,1.6571366877429936
2005-06-28,0.7028391024607935
2005-06-29,0.8301106811191684
2005-06-30,1.0298954095262924
2005-07-01,0.8489573037651402
2005-07-04,0.5348009706801602
2005-07-05,1.0205688924418082
2005-07-06,0.6813088858821685
