Date,Gold_Price_USD
2005-01-03,450.0
2005-01-04,452.3252136885505
2005-01-05,451.79027443556066
2005-01-06,454.80682631422053
2005-01-07,461.8246314332307
2005-01-10,460.8356183997128
2005-01-11,459.84879902993373
2005-01-12,467.2027599559772
2005-01-13,470.88167674343146
2005-01-14,468.7651842184087
2005-01-17,471.4022698430636
2005-01-18,469.31198877425993
2005-01-19,467.22012560322077
2005-01-20,468.4440660574646
2005-01-21,459.5751070975269
2005-01-24,451.7397291428303
2005-01-25,449.2900009270618
2005-01-26,444.8293099773071
2005-01-27,446.31614008050815
2005-01-28,442.35274530365626
2005-01-31,436.1938516578352
2005-02-01,442.6741602451013
2005-02-02,441.7632417349391
2005-02-03,442.1499091694008
2005-02-04,435.9388163399992
2005-02-07,433.6528284976127
2005-02-08,434.2205780110318
2005-02-09,429.3095711618811
2005-02-10,431.00834062753694
2005-02-11,428.5057394450764
2005-02-14,427.34151613349866
2005-02-15,424.8556422773487
2005-02-16,432.8101217833629
2005-02-17,432.83826645289395
2005-02-18,428.346656457209
2005-02-21,431.9556694173533
2005-02-22,426.7685571904652
2005-02-23,427.7452750528012
2005-02-24,419.44842774629467
2005-02-25,413.96126193219385
2005-02-28,414.85898344083944
2005-03-01,418.0055501843469
2005-03-02,418.80548022101334
2005-03-03,418.4048999726341
2005-03-04,417.22874833628435
2005-03-07,411.1433752916648
2005-03-08,408.2660121914876
2005-03-09,406.4670338531205
2005-03-10,410.8451806170052
2005-03-11,412.3390888355392
2005-03-14,405.1518529408789
2005-03-15,406.54591551855447
2005-03-16,405.06168841923994
2005-03-17,402.4007490732032
2005-03-18,404.94261919121664
2005-03-21,409.1985641852989
2005-03-22,413.0911887741026
2005-03-23,409.70707336877643
2005-03-24,408.52214980785607
2005-03-25,409.95713872931475
2005-03-28,414.03844704722474
2005-03-29,412.1372891636091
2005-03-30,411.4545467479307
2005-03-31,406.9847721044699
2005-04-01,402.1977902559775
2005-04-04,405.54619071695737
2005-04-05,411.1274797279483
2005-04-06,410.91365182589163
2005-04-07,415.11948823425917
2005-04-08,416.70373374835447
2005-04-11,414.09883639051634
2005-04-12,415.6781911549712
2005-04-13,422.1546093719899
2005-04-14,422.0877990184062
2005-04-15,428.7763865475164
2005-04-18,417.6292934307544
2005-04-19,421.14532491115244
2005-04-20,421.5961486344919
2005-04-21,420.4198643905207
2005-04-22,420.889728895673
2005-04-25,412.60843342517376
2005-04-26,411.7845703767769
2005-04-27,413.33746175921334
2005-04-28,419.5288189835904
2005-04-29,417.43843182152
2005-05-02,414.1469564905897
2005-05-03,412.15177435690526
2005-05-04,416.0070507823864
2005-05-05,417.4578799882525
2005-05-06,415.3298458485828
2005-05-09,417.5446646564932
2005-05-10,418.0335157173065
2005-05-11,422.1663831291941
2005-05-12,419.28698425175133
2005-05-13,417.9969969155973
2005-05-16,416.4415960102268
2005-05-17,410.4301993215792
2005-05-18,411.7276524048313
2005-05-19,412.8848346789376
2005-05-20,412.988524332878
2005-05-23,412.1023040973438
2005-05-24,406.3519491186538
2005-05-25,404.72391904054405
2005-05-26,403.41781620194416
2005-05-27,400.2619703258061
2005-05-30,399.6964573525029
2005-05-31,401.3913736045635
2005-06-01,409.0426393768889
2005-06-02,409.83854559813807
2005-06-03,410.9760540827782
2005-06-06,410.7522944065532
2005-06-07,402.95304807418114
2005-06-08,402.92680021451076
2005-06-09,403.25006923223157
2005-06-10,413.26374477003236
2005-06-13,412.55143939245613
2005-06-14,413.87798758158164
2005-06-15,413.8170988051879
2005-06-16,409.0636726752984
2005-06-17,413.82035838705974
2005-06-20,417.01477442943224
2005-06-21,420.3968974739444
2005-06-22,416.65794020746483
2005-06-23,422.5861256768002
2005-06-24,416.7466148079226
2005-06-27,419.2756712030569
2005-06-28,428.5435738648174
2005-06-29,424.3844028114461
2005-06-30,422.06600045409886
2005-07-01,422.57100818521303
2005-07-04,420.52798023928415
2005-07-05,414.0911122283604
2005-07-06,414.4578436357571
2005-07-07,410.13793413971246
2005-07-08,412.16234393778956
2005-07-11,408.455255932027
2005-07-12,414.8677355240063
2005-07-13,411.70124387377854
2005-07-14,410.45765285429576
2005-07-15,413.8788880608477
2005-07-18,408.8673762920653
2005-07-19,409.87915923405524
2005-07-20,415.31884079714376
2005-07-21,408.72572382951506
2005-07-22,409.56211504900153
2005-07-25,410.7084089407836
2005-07-26,414.00156289998347
2005-07-27,408.96336793722577
2005-07-28,403.6449767737939
2005-07-29,405.83249668045573
2005-08-01,407.1189234939323
2005-08-02,408.2201510743885
2005-08-03,409.7160665088065
2005-08-04,407.01183918156937
2005-08-05,408.03854159378784
2005-08-08,409.3159979479674
2005-08-09,406.47390651200686
2005-08-10,414.13908783546464
2005-08-11,416.18424298955995
2005-08-12,411.3094623966169
2005-08-15,414.0921914071136
2005-08-16,410.1389291579073
2005-08-17,413.44909730909495
2005-08-18,418.3219900914259
2005-08-19,414.97255988298684
2005-08-22,419.05330097979027
2005-08-23,420.8668837401286
2005-08-24,424.41083609471457
2005-08-25,432.545913218601
2005-08-26,431.57100613395016
2005-08-29,428.4044135870639
2005-08-30,424.67937539377175
2005-08-31,421.29973324626116
2005-09-01,421.05916389682045
2005-09-02,422.5798273823802
2005-09-05,423.83358285004834
2005-09-06,427.4242299677432
