,VVIX
2005-01-03,82.51003543150146
2005-01-04,81.79414171048842
2005-01-05,64.83337453714078
2005-01-06,76.50738114652039
2005-01-07,96.1652165451375
2005-01-10,73.40675865222832
2005-01-11,76.81698985895666
2005-01-12,74.58379236690813
2005-01-13,79.12984776681863
2005-01-14,74.16877168675703
2005-01-17,84.8674150215806
2005-01-18,81.97313412290266
2005-01-19,87.73547615107017
2005-01-20,69.4905883381104
2005-01-21,76.59659517117096
2005-01-24,77.74277368387865
2005-01-25,84.55646910088595
2005-01-26,72.06778802792965
2005-01-27,89.15653804258343
2005-01-28,91.86415590517609
2005-01-31,70.11127652364416
2005-02-01,75.09127105106434
2005-02-02,74.68068491707908
2005-02-03,106.32386204677499
2005-02-04,75.70099894792114
2005-02-07,96.77625442156135
2005-02-08,67.3336800489339
2005-02-09,70.10349033835637
2005-02-10,73.13395468151799
2005-02-11,71.54310688553477
2005-02-14,77.32101265841501
2005-02-15,72.91221797278502
2005-02-16,71.80658407265426
2005-02-17,91.58471996473328
2005-02-18,92.23793622513165
2005-02-21,89.49296498375315
2005-02-22,85.23998955584328
2005-02-23,80.92743065779553
2005-02-24,75.02969309334091
2005-02-25,70.46842495244908
2005-02-28,83.62995703432688
2005-03-01,68.26369607453202
2005-03-02,70.06079070824606
2005-03-03,91.52913256204809
2005-03-04,99.00649041722087
2005-03-07,83.93295138166481
2005-03-08,91.06457152294644
2005-03-09,77.54151682556017
2005-03-10,66.62325813912315
2005-03-11,86.12171618618584
2005-03-14,85.69289323270064
2005-03-15,80.71668553880244
2005-03-16,77.57624541894889
2005-03-17,89.62210578581099
2005-03-18,70.14266966572525
2005-03-21,72.26219421109343
2005-03-22,69.91893493239571
2005-03-23,80.84972962635827
2005-03-24,69.12106987890742
2005-03-25,73.15757819484756
2005-03-28,72.94244437772802
2005-03-29,77.39391667666042
2005-03-30,65.12625553596023
2005-03-31,80.87204992037267
2005-04-01,92.47303650664678
2005-04-04,81.35491372316761
2005-04-05,95.41321144801321
2005-04-06,93.33998185876925
2005-04-07,87.77735047247855
2005-04-08,80.74685842636886
