,Mkt_RF,SMB,HML,RMW,CMA,UMD
2005-01-03,0.00616094728144831,-0.00019954368121697036,-0.004250752126506413,-0.0013702139208665945,-0.0034569327047703244,-0.015039865976615548
2005-01-04,0.008028635611864517,0.008792524696821232,-0.006103107859732854,0.010696859682389682,-0.0036577989145144475,-0.013925047677686255
2005-01-05,-0.012316901415193041,-0.019120073655228116,-0.004273017521769361,-0.0046109574323810265,-0.0028812895756847256,-0.0016955832074327965
2005-01-06,-0.0018776128871237049,0.007556046282801683,0.009265233148866167,-0.005544127964288505,0.005451577134932842,-0.004429333469013359
2005-01-07,0.01617074822327164,0.005621292431145757,0.0021005075289416723,-0.006874870839720486,0.005995185633235662,0.008578718212521643
2005-01-10,0.006905926199637431,-0.010914899796814677,-0.0053626182665055516,-0.0060043331961993395,0.016017169591375818,0.009626751950022333
2005-01-11,-0.002214924645760204,0.005675699306303516,0.004752039113848645,-0.008046779160981404,0.00222822885799574,0.010469054348026497
2005-01-12,0.004552954812539195,0.006450804673357232,0.005078430064551232,0.0011704826268961201,-0.0038421456336744752,0.004983128792949997
2005-01-13,-0.006452633084704479,0.0034705809392863375,-0.002187848604815844,0.0043691094293444414,-0.002294450402459757,0.005328075816226276
2005-01-14,0.01153695678385025,-0.009254524662088509,0.005855041750571944,0.0002706870555555743,-0.000687510851285082,-0.010053586802528325
2005-01-17,0.011532600646021393,0.004195916305385353,0.0061404978135894146,-0.006826454543890654,0.007631243114798107,0.011397615182949926
2005-01-18,0.0016090591508605469,0.006143181136011569,0.005207991804080395,-0.0022483974135938155,0.003764694088992967,0.010215137088963029
2005-01-19,0.002707061564576936,-0.0033332389686852345,-0.003942512199434343,0.004307429751420553,-0.006634043033321006,-0.010839524150786855
2005-01-20,-0.009587968750056727,0.0027468031359163406,-0.006974311356654931,-0.0016096438918182874,-0.00018421789407729958,0.003944376677667894
2005-01-21,-0.013120364270678295,-0.00201924737311671,-0.010057203945205775,-0.0038919068169227414,-0.007257382659726047,-0.0041737112706044105
2005-01-24,-0.0033660474394153076,0.0054122619431010545,-0.0038330878348852887,-0.007468921651337491,0.0030623897347744626,0.014996921913031164
2005-01-25,-0.00047401709691178147,-0.00178104011136646,-0.0021068657502178096,-0.0020137187020696735,-0.003434038972319011,-0.007600098491175702
