,VIX
2005-01-03,13.787809747825541
2005-01-04,13.151724618035512
2005-01-05,14.004622201511793
2005-01-06,14.824616203212496
2005-01-07,16.903810459825312
2005-01-10,14.56376971405622
2005-01-11,12.192757659479177
2005-01-12,17.720888238923976
2005-01-13,13.719624840110079
2005-01-14,15.330620257489496
2005-01-17,16.29479235629893
2005-01-18,15.754367203866048
2005-01-19,17.567701689260037
2005-01-20,16.146020856536822
2005-01-21,13.292903627105787
2005-01-24,19.316418381559227
2005-01-25,15.246677848218926
2005-01-26,14.594755201558977
2005-01-27,16.72648409336101
2005-01-28,15.156304768976483
2005-01-31,15.602424139887148
2005-02-01,19.765758121161213
2005-02-02,14.237900087918538
2005-02-03,14.010146337772493
2005-02-04,14.824386877379695
2005-02-07,16.74535398348783
2005-02-08,11.474154694202728
2005-02-09,10.593680773465081
2005-02-10,13.290498146185918
2005-02-11,11.167713394328311
2005-02-14,13.52572595617267
2005-02-15,15.565615861933424
2005-02-16,12.777769020096523
2005-02-17,11.599842500742774
2005-02-18,14.674424468946473
2005-02-21,16.138752749749017
2005-02-22,11.044605262985925
2005-02-23,15.879049924243143
2005-02-24,15.740378930217982
2005-02-25,16.0336228506415
2005-02-28,16.636259734071157
2005-03-01,18.62046398176601
2005-03-02,13.492687206969846
2005-03-03,14.393904094804745
2005-03-04,13.194031869116234
2005-03-07,13.958878004284434
2005-03-08,16.97460714894946
2005-03-09,11.32454369243739
2005-03-10,12.326835144924424
2005-03-11,16.62699234672842
2005-03-14,15.945111884462957
2005-03-15,13.140267348982992
2005-03-16,15.507642444827992
2005-03-17,14.542437756454706
2005-03-18,16.96365524172221
2005-03-21,14.205253223285398
2005-03-22,16.023576511054756
2005-03-23,19.22541486670971
2005-03-24,15.170715698959759
2005-03-25,14.17072823316675
2005-03-28,15.469048448234492
2005-03-29,13.275026863718383
2005-03-30,18.670890493775012
2005-03-31,14.135476495709444
2005-04-01,13.310720362105874
2005-04-04,12.320832995373909
2005-04-05,16.179450376468825
2005-04-06,15.819738108700626
2005-04-07,13.126818142721726
2005-04-08,15.209917600334245
2005-04-11,11.076042534214526
2005-04-12,14.61689927743315
2005-04-13,15.148888227529232
2005-04-14,17.81449950807569
2005-04-15,12.596227773090892
2005-04-18,11.663350371381142
2005-04-19,12.437904413959526
2005-04-20,11.525722600133182
2005-04-21,16.88135039393454
2005-04-22,17.106557377004556
2005-04-25,14.62774475407039
2005-04-26,16.465612746694205
2005-04-27,14.438729020958531
2005-04-28,13.928761942569164
2005-04-29,13.372060639573853
2005-05-02,13.36717819056779
2005-05-03,10.983897272475067
2005-05-04,14.640885023273777
2005-05-05,13.978731655254306
2005-05-06,15.60144766714948
2005-05-09,14.307480966805754
2005-05-10,13.89189106984364
2005-05-11,12.404707103578826
2005-05-12,14.258633422577834
2005-05-13,15.551590595253419
2005-05-16,11.642086656640164
2005-05-17,14.13332417387582
2005-05-18,14.450568096791299
2005-05-19,12.548863972160047
2005-05-20,12.785822216243059
2005-05-23,14.281219449386446
2005-05-24,11.511091182992237
2005-05-25,14.443509198423591
2005-05-26,11.872725293684246
2005-05-27,15.773012855902476
2005-05-30,18.363366046294097
2005-05-31,12.15481554223491
2005-06-01,14.962202651671081
2005-06-02,12.46605815622997
2005-06-03,15.994005722012972
2005-06-06,11.189703434717059
2005-06-07,14.678742382197992
2005-06-08,11.977613952557963
2005-06-09,13.55594691938846
2005-06-10,11.88862945081247
2005-06-13,15.625535677131955
2005-06-14,12.30340284949075
2005-06-15,14.964424273271627
2005-06-16,13.286581979534809
2005-06-17,13.821026595730427
2005-06-20,14.424586348832714
2005-06-21,12.514486445235287
2005-06-22,14.599149446728365
2005-06-23,17.098899242076186
2005-06-24,12.540726251081963
2005-06-27,16.659581671876076
2005-06-28,17.213103019790886
2005-06-29,12.527968001798957
2005-06-30,11.260133906182702
2005-07-01,14.723817351295715
2005-07-04,12.870014162311826
2005-07-05,17.70889194365218
2005-07-06,13.935070214953232
2005-07-07,12.308415560946727
2005-07-08,11.526552931570283
2005-07-11,16.155675312277122
2005-07-12,12.755172116693464
2005-07-13,13.952991512162123
2005-07-14,15.858291125203195
2005-07-15,12.855082499473179
2005-07-18,13.75448753931493
2005-07-19,13.943922652578452
2005-07-20,15.182960171799554
2005-07-21,15.016263205641252
2005-07-22,13.420535351535786
2005-07-25,14.06624322421621
2005-07-26,13.071692007088389
2005-07-27,10.727979554988048
2005-07-28,14.250600240184884
2005-07-29,17.54948051437808
2005-08-01,12.022707996364407
2005-08-02,12.278731679490823
2005-08-03,12.015333083250898
2005-08-04,15.229197553700727
2005-08-05,14.70629215197723
2005-08-08,13.4208107169488
2005-08-09,12.088425429618258
2005-08-10,14.156600428267216
2005-08-11,10.723472240595495
2005-08-12,14.205224989845474
2005-08-15,15.563952461283623
2005-08-16,11.397213876214643
2005-08-17,10.950435153723413
2005-08-18,17.092279258937285
2005-08-19,12.806221809462832
2005-08-22,16.342914873053296
2005-08-23,13.845229866769438
2005-08-24,14.018994861547839
2005-08-25,15.195191082823499
2005-08-26,12.474994353901579
2005-08-29,14.419034911423202
2005-08-30,13.30948076628718
2005-08-31,11.423762538183892
2005-09-01,14.773828771928418
2005-09-02,13.59991808865279
2005-09-05,13.895202370422808
2005-09-06,11.7902303296717
2005-09-07,17.538706359741354
2005-09-08,16.082868313664186
2005-09-09,16.52976862589487
2005-09-12,14.053134187444051
2005-09-13,11.119942057678948
2005-09-14,18.3770533518587
2005-09-15,14.39727081239226
2005-09-16,12.999519957831305
2005-09-19,15.40212274824685
2005-09-20,16.95008493774457
2005-09-21,14.562459358301357
2005-09-22,17.0810314345442
2005-09-23,16.5383962532306
2005-09-26,12.174982506186044
2005-09-27,13.065804549103557
2005-09-28,16.349868461395065
2005-09-29,8.884995129343455
2005-09-30,14.02862696321947
2005-10-03,11.504407684272987
2005-10-04,13.324576741035166
2005-10-05,13.69541667643836
2005-10-06,13.582388970526353
2005-10-07,13.080058192333091
2005-10-10,12.026072133335507
2005-10-11,18.86026041886733
2005-10-12,18.11966701787019
2005-10-13,12.165991574238411
2005-10-14,17.516589780562406
2005-10-17,13.459642793018052
2005-10-18,14.568452247348045
2005-10-19,14.234907975982011
2005-10-20,13.093463381898516
2005-10-21,16.765938500684214
2005-10-24,15.107095925694553
2005-10-25,14.015776582120814
2005-10-26,12.455100717307673
2005-10-27,13.342228702600957
2005-10-28,11.815131574370971
2005-10-31,15.19823582445483
2005-11-01,12.703175021601941
2005-11-02,14.54170332045965
2005-11-03,17.764491697934563
2005-11-04,17.431074550495623
2005-11-07,15.19938747311457
2005-11-08,14.90304528977433
2005-11-09,18.905589859940097
2005-11-10,16.026081414696538
2005-11-11,14.281763067647127
2005-11-14,12.194234812856006
2005-11-15,15.840445485335943
2005-11-16,16.603572116379254
2005-11-17,13.610091151260244
2005-11-18,15.523759485457063
2005-11-21,14.141170722179227
2005-11-22,14.521898372569476
2005-11-23,9.9188762398332
2005-11-24,14.385797512765011
2005-11-25,16.982493333945925
2005-11-28,13.8443415202285
2005-11-29,15.009685109126488
2005-11-30,13.41137639078896
2005-12-01,15.577982510281506
