,volatility
2005-01-03,0.15049671415301122
2005-01-04,0.15035844985184002
2005-01-05,0.1510061383899407
2005-01-06,0.15252916824634874
2005-01-07,0.15229501487162542
2005-01-10,0.15206087791467623
2005-01-11,0.15364009073018361
2005-01-12,0.15440752545933653
2005-01-13,0.15393805107340158
2005-01-14,0.15448061111698755
2005-01-17,0.15401719342417508
2005-01-18,0.15355146367060482
2005-01-19,0.15379342594217085
2005-01-20,0.15188014569751304
2005-01-21,0.15015522786500002
2005-01-24,0.14959294033575904
2005-01-25,0.1485801092154246
2005-01-26,0.14889435654801988
2005-01-27,0.14798633247249868
2005-01-28,0.14657402877116338
2005-01-31,0.14803967754008493
2005-02-01,0.1478139012395984
2005-02-02,0.1478814294442863
2005-02-03,0.14645668125807285
2005-02-04,0.14591229853354767
2005-02-07,0.14602322112325755
2005-02-08,0.14487222754583526
2005-02-09,0.14524792556418092
2005-02-10,0.14464728687426212
2005-02-11,0.14435559312446886
2005-02-14,0.14375388651223947
2005-02-15,0.14560616469674842
2005-02-16,0.1455926674720105
2005-02-17,0.1445349565430546
2005-02-18,0.14535750145515777
2005-02-21,0.14413665780518675
2005-02-22,0.1443455214001915
2005-02-23,0.14238585127631173
2005-02-24,0.1410576652274133
2005-02-25,0.14125452646328243
2005-02-28,0.14199299304327784
2005-03-01,0.1421643613244678
2005-03-02,0.14204871304207956
2005-03-03,0.14174760934649028
2005-03-04,0.14026908735612284
2005-03-07,0.13954924314772812
2005-03-08,0.13908860437676834
2005-03-09,0.14014572660298727
2005-03-10,0.14048934489255574
2005-03-11,0.138726304737193
2005-03-14,0.13905038870658779
2005-03-15,0.13866530642617148
2005-03-16,0.13798838442586553
2005-03-17,0.1386000607147064
2005-03-18,0.13963106023720234
2005-03-21,0.14056234035631854
2005-03-22,0.1397231228330959
2005-03-23,0.1394139104572447
2005-03-24,0.13974517388864827
2005-03-25,0.14072071901577063
2005-03-28,0.14024154477792533
2005-03-29,0.14005588580126152
2005-03-30,0.1389495508272555
2005-03-31,0.1377533442031748
2005-04-01,0.138565870025569
2005-04-04,0.13992211005413982
2005-04-05,0.13985009993255948
2005-04-06,0.1408536328304515
2005-04-07,0.14121526885549912
2005-04-08,0.140570149100894
2005-04-11,0.1409315447064024
2005-04-12,0.14246958127286838
2005-04-13,0.14243375523375842
2005-04-14,0.14399839888957244
2005-04-15,0.1413786537854827
2005-04-18,0.14220055628985792
2005-04-19,0.1422876033580961
2005-04-20,0.14198859600763022
2005-04-21,0.14208035678416572
2005-04-22,0.14009278786956483
2005-04-25,0.13987311598172733
2005-04-26,0.14023022855323908
2005-04-27,0.1417081225979806
2005-04-28,0.14118985237970696
2005-04-29,0.14038135877681376
2005-05-02,0.13987960173322922
2005-05-03,0.1407950038509313
2005-05-04,0.14112375496059099
2005-05-05,0.14059399475682394
2005-05-06,0.1411072621899373
2005-05-09,0.14120433973928534
2005-05-10,0.14217298472981824
2005-05-11,0.14147093163594088
2005-05-12,0.1411432694893431
2005-05-13,0.14075116133621096
2005-05-16,0.13928764638807883
2005-05-17,0.1395837666651434
2005-05-18,0.1398448219373233
2005-05-19,0.13984993539396576
2005-05-20,0.1396153482605906
2005-05-23,0.13819997751854018
2005-05-24,0.13777933219577482
2005-05-25,0.13743661767924806
2005-05-26,0.13663434041002645
2005-05-27,0.13647305469836044
2005-05-30,0.13687710555517496
2005-05-31,0.1387632914563855
2005-06-01,0.13893786926921733
2005-06-02,0.1391954196599401
2005-06-03,0.13912097374417393
2005-06-06,0.13720220252887488
2005-06-07,0.13717568865342566
2005-06-08,0.1372359188633667
2005-06-09,0.13969916097585197
2005-06-10,0.13950680001107085
2005-06-13,0.13980834735340447
2005-06-14,0.13977363558369924
2005-06-15,0.1386049575460797
2005-06-16,0.13974778036059474
2005-06-17,0.14049971339328152
2005-06-20,0.14129074534032457
2005-06-21,0.14038135788552983
2005-06-22,0.14178415219646592
2005-06-23,0.14038230113367364
2005-06-24,0.1409691582274739
2005-06-27,0.14315961385328388
2005-06-28,0.1421690775281532
2005-06-29,0.14160277979855043
2005-06-30,0.14170243116363807
2005-07-01,0.14119895550952186
2005-07-04,0.13964829207845572
2005-07-05,0.13971685505326176
2005-07-06,0.13865455133953566
2005-07-07,0.13912814377017085
2005-07-08,0.13820871953593705
2005-07-11,0.1397586539409546
2005-07-12,0.13897540064861835
2005-07-13,0.13865333913241268
2005-07-14,0.13946685634978234
2005-07-15,0.13823599203334838
2005-07-18,0.1384634519679525
2005-07-19,0.13977059472223494
2005-07-20,0.1381631114876737
2005-07-21,0.138347745346206
2005-07-22,0.13860762814045444
2005-07-25,0.13938945101223174
2005-07-26,0.13815250030135365
2005-07-27,0.13683204368826937
2005-07-28,0.13735398525388626
2005-07-29,0.13765096992711945
2005-08-01,0.13790146277746532
2005-08-02,0.1382479109869623
2005-08-03,0.1375678862653838
2005-08-04,0.1378001399625448
2005-08-05,0.1380932124358435
