,SPY,TLT,GLD,DBC,UUP,SHY
2005-01-03,100.53815704366593,99.71619828507573,100.23106938929477,100.26151614777629,100.3290642647781,100.06262907663599
2005-01-04,100.43941244952481,99.42909034699073,100.40515270480148,100.90543206829079,100.23379817163539,100.1439994086574
2005-01-05,101.13250319805135,98.73613826070051,99.22403044375037,101.40918003057371,99.91915588964577,100.02172917522454
2005-01-06,102.72565268406777,99.81911241231832,98.97686463296806,101.3103949752088,100.22710654724744,100.00395076395058
2005-01-07,102.52640085234368,99.8471357884758,100.29524694746152,101.40506476224603,100.49363263021934,100.16679712004857
2005-01-10,102.32755229937788,99.73246551154416,99.79755783297199,99.74543010681332,100.59112681571804,100.23699782705351
2005-01-11,103.99794021184773,99.19806454683969,99.57362340764077,99.0838630940878,101.30555999330872,100.2158006989368
2005-01-12,104.84105491862353,100.9810071257355,99.17285504515203,99.17859810952547,101.30498234199415,100.26244150818968
2005-01-13,104.39175494655679,100.35285072932652,99.13357829633631,98.34109563723416,101.21105946536969,100.19876868452751
2005-01-14,105.00167444839774,100.1149869756738,98.70180497406234,99.39619296621964,101.05943052334696,100.31543742891607
2005-01-17,104.55801870232679,100.38516287109289,99.11662288514272,98.64822385730042,100.44047404752759,100.43219826958527
2005-01-18,104.11383029895889,100.76748094985479,99.30298917503141,98.93923687420944,100.71659814953607,100.44936419317179
2005-01-19,104.40780627578957,101.36859065256212,99.94939960616036,99.11241199182706,100.68417851890403,100.47756490598474
2005-01-20,102.47016089356032,102.4944793718396,99.14233299633052,100.0389901762901,100.89984562116132,100.38227731782499
2005-01-21,100.75808690352692,102.82678599911186,98.9024292279775,101.1616270751406,101.65613672195319,100.25166098818754
2005-01-24,100.2332118525423,102.19775374067557,98.7536158922292,102.0433677740812,101.50752181308202,100.21892366649408
2005-01-25,99.26283966901528,102.06072994465545,99.14398574895955,99.53166380759313,100.57270184384726,100.21517537750218
2005-01-26,99.6150991974139,102.26986164314611,98.5463923323948,101.00354351558751,100.77649549965722,100.32673959047915
2005-01-27,98.75415814706272,103.56758328507259,99.30070352581531,102.90778533691916,100.85386485170163,100.42434754683707
2005-01-28,97.40820756698287,102.72315410661841,100.27776451418455,102.34994838590552,100.56887045228532,100.44793325567474
2005-01-31,98.8859297819508,103.48772476508425,99.51744961675455,102.67694169773762,100.73888138526736,100.57262015626816
2005-02-01,98.70239369596173,103.62022062781821,99.15715528865611,101.62073415044424,101.06624789358396,100.48280004268184
2005-02-02,98.80858368975225,104.16325977326737,98.76571857880403,99.30709796700009,100.69435916483214,100.59614188492306
2005-02-03,97.44976345164328,104.12035665020545,100.8979546640744,98.46512901445095,100.58312041497588,100.521685181261
2005-02-04,96.95948116867677,103.61611933058641,100.58171235363733,97.86322072401752,101.18914309125635,100.65141108420461
2005-02-07,97.10592540954909,104.1048064882996,101.97130589252956,97.48149723932438,100.90757315881551,100.65510038185923
2005-02-08,96.03305560764656,104.53529154817983,100.97352996802064,96.39994383678814,100.94458063353665,100.45918630122743
2005-02-09,96.43309401656231,105.1677899616817,100.20731552713433,95.58869089750196,99.90043250094055,100.53759083506577
2005-02-10,95.89396547535237,105.18042896449302,99.68830408307714,95.60952425076626,99.31996745677336,100.62404464511859
2005-02-11,95.65290984605497,104.82353469728496,99.04584705404793,94.76306440422216,99.3925044596775,100.58314123138348
2005-02-14,95.11712729838338,103.86849131870382,98.86345489509631,95.41654674154016,99.89190528638444,100.55083312376031
2005-02-15,96.93414524687512,104.40126915547279,98.33395886565872,96.23392412681567,99.35909754643579,100.53981885789457
2005-02-16,96.95983889015598,104.68807022510502,97.72082572436896,99.05711372617118,99.39867580847532,100.35146808266069
2005-02-17,95.97807225995926,104.10400766822676,98.66028378815102,100.43941895720164,99.25932999050738,100.11945034487073
2005-02-18,96.80950683249851,103.78890025910555,99.66083997329102,100.76811498440298,99.64842809866138,100.25486585575474
2005-02-21,95.67306094841956,103.51934238814846,100.45071339172648,100.05587845123227,99.17411662141919,100.17729183323996
2005-02-22,95.91145287967583,102.62284529352384,100.90295212284576,100.44434396013497,99.35480872448379,100.36833797084705
2005-02-23,94.08782915539742,102.14102712819447,101.00814219308359,100.87407271964636,99.10526885096746,100.51100263546546
2005-02-24,92.88357602988569,101.46881349985082,100.63749317815255,100.2897179858574,99.20364514556398,100.67368006309248
2005-02-25,93.10384197532954,101.23824708118816,99.90299086567673,101.27280891697703,99.24092535979035,100.61326389410536
2005-02-28,93.83145269846285,100.81069347263487,100.22358993443288,99.62277246808144,99.1509431174592,100.45659017619415
2005-03-01,94.0299923782843,99.85133267305034,99.31678065881958,99.36579896614074,99.35056086557937,100.35248249829164
2005-03-02,93.95888720243339,101.09068122160649,98.55977124942376,100.06583117837688,99.37784736262498,100.31270516770003
2005-03-03,93.71387708005196,101.87363699618561,99.50286969506111,99.75600669080005,99.3350023682797,100.07992621266652
2005-03-04,92.37543234196487,101.4188605929627,101.05770367761251,99.54364772377671,99.20340456615888,100.0373586963895
2005-03-07,91.74955322727887,101.60508713769181,101.40658585863285,99.41398403589542,99.244125359626,100.02218637782778
2005-03-08,91.36442959174109,101.88027961732324,102.33888370035862,98.45657355462316,99.3422443143971,99.89779408571641
2005-03-09,92.37232788389281,102.63150068260849,102.16844870537007,99.88828230430353,98.9598619778419,99.7988957960534
2005-03-10,92.72736558753527,102.14907640348483,101.11126210647008,98.70996782359666,98.83150677532238,99.78187170419885
2005-03-11,91.14332188790026,102.84118657040429,101.63814305733838,99.12224083798291,98.42508541291006,99.8224199729878
2005-03-14,91.47576493075046,102.52416106718533,102.13272603716743,99.65035600127862,98.41924093841841,99.73852229597703
2005-03-15,91.16064230398374,101.72603965691518,102.22196245478071,98.55691083988283,98.19614854930688,99.7726639077027
2005-03-16,90.5818652533146,102.18941831949802,102.05455750982469,98.67793916332718,98.5092179164652,99.79130777337187
2005-03-17,91.17409340046191,103.00450076326106,102.8740302499862,97.64083734561854,98.78453208159243,99.80097660832719
2005-03-18,92.15581523959185,104.63730556912552,102.0965943097744,99.31914291131437,98.43043355787533,99.74091309219084
2005-03-21,93.0552673804662,103.90757335490115,101.4969880406984,98.0054349485135,98.43936855471081,99.61298974410393
2005-03-22,92.31451742195345,104.36509749458376,100.71193081567633,97.27345837755882,98.70098018079295,99.78711105025909
