Date,VIX_Index
2005-01-03,20.0
2005-01-04,20.436447095206166
2005-01-05,19.654111751540775
2005-01-06,18.900555223990473
2005-01-07,17.157100365800137
2005-01-10,19.976407906287772
2005-01-11,19.997763057902322
2005-01-12,19.660595321314926
2005-01-13,18.28437743307049
2005-01-14,22.773645414908632
2005-01-17,21.024971095828857
2005-01-18,20.330450652628304
2005-01-19,20.93768337442598
2005-01-20,21.791118654321096
2005-01-21,23.138460804428565
2005-01-24,25.69295052586103
2005-01-25,26.167539482759047
2005-01-26,24.27511630867109
2005-01-27,23.675942805554865
2005-01-28,23.95389422404795
2005-01-31,26.858538575104287
2005-02-01,24.418903428712625
2005-02-02,26.001823015114837
2005-02-03,25.971603418678722
2005-02-04,26.92976905058901
2005-02-07,26.430288523105663
2005-02-08,24.84512515176089
2005-02-09,25.72917806327484
2005-02-10,26.42436570076953
2005-02-11,27.56123286434064
2005-02-14,27.163214268055654
2005-02-15,25.905320519673097
2005-02-16,23.27187400115368
2005-02-17,24.337340203305104
2005-02-18,24.756307416805825
2005-02-21,23.069818096669596
2005-02-22,22.10846668189118
2005-02-23,21.30290512986946
2005-02-24,19.013283225402358
2005-02-25,17.83609546922454
2005-02-28,16.24354516055378
2005-03-01,15.812649384694186
2005-03-02,14.913970667965133
2005-03-03,12.727764753266754
2005-03-04,16.125261861457638
2005-03-07,18.1978098649286
2005-03-08,17.119390239402193
2005-03-09,17.6720528224125
2005-03-10,18.414647816023816
2005-03-11,20.28054420738284
2005-03-14,19.03860945702358
2005-03-15,20.72483916014604
2005-03-16,19.866739245828335
2005-03-17,17.869608677284
2005-03-18,19.062333082391547
2005-03-21,21.045354064455612
2005-03-22,24.87494982152886
2005-03-23,22.831614432817094
2005-03-24,23.738413238797424
2005-03-25,22.93679071116725
2005-03-28,23.964989241394935
2005-03-29,21.561005452478312
2005-03-30,19.588800516306552
2005-03-31,18.445548255741496
2005-04-01,18.641716911456548
2005-04-04,17.748009166076187
2005-04-05,18.84919022364251
2005-04-06,20.447072639847256
2005-04-07,21.324085319722926
2005-04-08,23.68606251322808
2005-04-11,24.12549933174969
2005-04-12,22.093879299651952
2005-04-13,24.034250104976863
2005-04-14,22.924803246319023
2005-04-15,24.144190833531425
2005-04-18,26.297582616687514
2005-04-19,26.667735501948734
2005-04-20,24.09011050710432
2005-04-21,22.508286731984416
2005-04-22,24.3669890957129
2005-04-25,23.89495561246303
2005-04-26,23.819568134253124
2005-04-27,24.766826351785884
2005-04-28,25.572969327317075
2005-04-29,25.71252057952941
2005-05-02,25.11389199372224
2005-05-03,24.389194725437594
2005-05-04,25.45658322710273
2005-05-05,26.014108362349283
2005-05-06,25.327452943305136
2005-05-09,26.684248765629594
2005-05-10,26.15648515465344
2005-05-11,24.571167635419176
2005-05-12,23.2041532052932
2005-05-13,21.57583429056389
2005-05-16,21.088427551130167
2005-05-17,22.884592591077947
2005-05-18,21.532720189978285
2005-05-19,21.73879782200653
2005-05-20,20.666823912465084
