dates,Contagion_Index
2005-01-03,0.32483570765056163
2005-01-04,0.29308678494144075
2005-01-05,0.3323844269050346
2005-01-06,0.3761514928204013
2005-01-07,0.2882923312638332
2005-01-10,0.288293152152541
2005-01-11,0.37896064077536956
2005-01-12,0.3383717364576454
2005-01-13,0.27652628070325236
2005-01-14,0.3271280021792982
2005-01-17,0.2768291153593769
2005-01-18,0.27671351232148717
2005-01-19,0.3120981135783017
2005-01-20,0.2043359877671101
2005-01-21,0.21375410837434833
2005-01-24,0.27188562353795137
2005-01-25,0.2493584439832788
2005-01-26,0.3157123666297637
2005-01-27,0.25459879622393944
2005-01-28,0.22938481493323543
2005-01-31,0.37328243844607767
2005-02-01,0.2887111849756732
2005-02-02,0.30337641023439615
2005-02-03,0.22876259068932714
2005-02-04,0.27278086377374083
2005-02-07,0.3055461294854933
2005-02-08,0.24245032112888484
2005-02-09,0.31878490091728356
2005-02-10,0.2699680655040597
2005-02-11,0.28541531251033614
2005-02-14,0.26991466938853015
2005-02-15,0.39261390922544687
2005-02-16,0.2993251387631033
2005-02-17,0.24711445355220496
2005-02-18,0.34112724560515945
2005-02-21,0.23895781750144887
2005-02-22,0.3104431797502378
2005-02-23,0.20201649380601122
2005-02-24,0.23359069755507844
2005-02-25,0.30984306179345616
2005-02-28,0.3369233289997705
2005-03-01,0.30856841405949853
2005-03-02,0.29421758588058794
2005-03-03,0.28494481522053555
2005-03-04,0.22607390048162862
2005-03-07,0.26400778958026455
2005-03-08,0.2769680614520106
2005-03-09,0.3528561113109458
2005-03-10,0.31718091447842306
2005-03-11,0.2118479922318633
2005-03-14,0.31620419846973974
2005-03-15,0.28074588597918415
2005-03-16,0.26615389998470207
2005-03-17,0.3305838144420434
2005-03-18,0.35154997612479755
2005-03-21,0.34656400595580994
2005-03-22,0.25803912383886807
2005-03-23,0.28453938120743927
2005-03-24,0.3165631715701782
2005-03-25,0.34877725635611795
2005-03-28,0.2760412881077355
2005-03-29,0.2907170511668091
2005-03-30,0.2446832512996986
2005-03-31,0.24018966879596645
2005-04-01,0.3406262911197099
2005-04-04,0.36781200142854115
2005-04-05,0.2963994939209833
2005-04-06,0.3501766448946012
2005-04-07,0.3180818012523817
2005-04-08,0.26774401226974376
2005-04-11,0.3180697802754207
2005-04-12,0.37690182832329844
2005-04-13,0.2982086980445024
2005-04-14,0.3782321827907003
2005-04-15,0.16901274479551276
2005-04-18,0.3410951252187612
2005-04-19,0.3043523534119085
2005-04-20,0.2850496324767066
2005-04-21,0.3045880388267751
2005-04-22,0.20062155426995534
2005-04-25,0.2890164056081244
2005-04-26,0.3178556285755873
2005-04-27,0.37389470223707577
2005-04-28,0.2740864890863176
2005-04-29,0.2595753198553406
2005-05-02,0.27491214782077317
2005-05-03,0.3457701058851037
2005-05-04,0.3164375554829842
2005-05-05,0.27351198981164804
2005-05-06,0.3256633716556678
2005-05-09,0.304853877467402
2005-05-10,0.3484322495266444
2005-05-11,0.26489734530613235
2005-05-12,0.2836168926701116
2005-05-13,0.2803945923433921
2005-05-16,0.22682425259339406
2005-05-17,0.3148060138532288
2005-05-18,0.3130527636089945
2005-05-19,0.300255672832123
2005-05-20,0.28827064333124264
2005-05-23,0.22923146289747925
2005-05-24,0.278967733861732
2005-05-25,0.2828642741736615
2005-05-26,0.259886136538919
2005-05-27,0.2919357144166995
2005-05-30,0.3202025428407269
2005-05-31,0.3943092950605265
2005-06-01,0.3087288906415919
2005-06-02,0.3128775195361382
2005-06-03,0.29627770421169164
2005-06-06,0.2040614392350479
